nSeq,I1,I2,O1,O2,A2
14,0,0,0,0,515
15,0,0,0,0,514
0,0,0,0,0,517
1,0,0,0,0,519
2,0,0,0,0,521
3,0,0,0,0,519
4,0,0,0,0,520
5,0,0,0,0,521
6,0,0,0,0,519
7,0,0,0,0,518
8,0,0,0,0,518
9,0,0,0,0,518
10,0,0,0,0,516
11,0,0,0,0,515
12,0,0,0,0,519
13,0,0,0,0,518
14,0,0,0,0,519
15,0,0,0,0,518
0,0,0,0,0,518
1,0,0,0,0,515
2,0,0,0,0,514
3,0,0,0,0,513
4,0,0,0,0,514
5,0,0,0,0,511
6,0,0,0,0,510
7,0,0,0,0,511
8,0,0,0,0,511
9,0,0,0,0,509
10,0,0,0,0,510
11,0,0,0,0,507
12,0,0,0,0,507
13,0,0,0,0,504
14,0,0,0,0,504
15,0,0,0,0,506
0,0,0,0,0,505
1,0,0,0,0,508
2,0,0,0,0,508
3,0,0,0,0,508
4,0,0,0,0,511
5,0,0,0,0,512
6,0,0,0,0,516
7,0,0,0,0,514
8,0,0,0,0,517
9,0,0,0,0,516
10,0,0,0,0,517
11,0,0,0,0,512
12,0,0,0,0,513
13,0,0,0,0,512
14,0,0,0,0,514
15,0,0,0,0,513
0,0,0,0,0,515
1,0,0,0,0,515
2,0,0,0,0,517
3,0,0,0,0,513
4,0,0,0,0,508
5,0,0,0,0,501
6,0,0,0,0,504
7,0,0,0,0,509
8,0,0,0,0,510
9,0,0,0,0,510
10,0,0,0,0,512
11,0,0,0,0,510
12,0,0,0,0,513
13,0,0,0,0,512
14,0,0,0,0,514
15,0,0,0,0,523
0,0,0,0,0,547
1,0,0,0,0,518
2,0,0,0,0,444
3,0,0,0,0,388
4,0,0,0,0,516
5,0,0,0,0,592
6,0,0,0,0,570
7,0,0,0,0,539
8,0,0,0,0,528
9,0,0,0,0,522
10,0,0,0,0,520
11,0,0,0,0,517
12,0,0,0,0,520
13,0,0,0,0,517
14,0,0,0,0,515
15,0,0,0,0,513
0,0,0,0,0,517
1,0,0,0,0,513
2,0,0,0,0,513
3,0,0,0,0,513
4,0,0,0,0,515
5,0,0,0,0,511
6,0,0,0,0,511
7,0,0,0,0,508
8,0,0,0,0,512
9,0,0,0,0,508
10,0,0,0,0,508
11,0,0,0,0,507
12,0,0,0,0,509
13,0,0,0,0,507
14,0,0,0,0,513
15,0,0,0,0,514
0,0,0,0,0,522
1,0,0,0,0,519
2,0,0,0,0,522
3,0,0,0,0,521
